institute_id,gmaps_id,gmaps_lat,gmaps_lng,gmaps_name,gmaps_addr,gmaps_www,gmaps_country
249867,ChIJW0Wu1MC2lzMRAkXUBNP3u9Q,14.6745423,121.0141384,Cocogreen Coco Technologies Corporation,"275, 1106 Quirino Hwy, Quezon City, Metro Manila, Philippines",http://cocotech.com.ph/,Philippines
234120,ChIJa_mumdJo4zoRndOgClJjblQ,7.256592899999999,80.5966093,University of Peradeniya,"University of Peradeniya, Sri Lanka",NA,Sri Lanka
240694,ChIJAdcqiECXBzMRn7eZK7piUp8,10.7459726,124.7945823,Visayas State University,"Pangasugan, Baybay City, 6521 Leyte, Philippines",http://www.vsu.edu.ph/,Philippines
257614,ChIJubx18aoxjEcRKKylyWpyNgk,46.5210895,6.5801606,University of Lausanne,"1015 Lausanne, Switzerland",http://www.unil.ch/,Switzerland
257614,ChIJubx18aoxjEcRKKylyWpyNgk,46.5210895,6.5801606,University of Lausanne,"1015 Lausanne, Switzerland",http://www.unil.ch/,Switzerland
257614,ChIJubx18aoxjEcRKKylyWpyNgk,46.5210895,6.5801606,University of Lausanne,"1015 Lausanne, Switzerland",http://www.unil.ch/,Switzerland
257614,ChIJubx18aoxjEcRKKylyWpyNgk,46.5210895,6.5801606,University of Lausanne,"1015 Lausanne, Switzerland",http://www.unil.ch/,Switzerland
257614,ChIJubx18aoxjEcRKKylyWpyNgk,46.5210895,6.5801606,University of Lausanne,"1015 Lausanne, Switzerland",http://www.unil.ch/,Switzerland
239725,ChIJExiOT6wLkEcR9IujcTwWxOA,47.4024416,8.4985514,Biotech Concepts GmbH,"Regensdorferstrasse 5, 8049 Zürich, Switzerland",http://www.biotech-concepts.com/,Switzerland
59659,ChIJAXAJiw4KkEcReLJP0-wOZJw,47.38085299999999,8.535741999999999,Schweizer Institut für Sucht- und Gesundheitsforschung (ISGF),"Konradstrasse 32, 8005 Zürich, Switzerland",https://www.isgf.ch/,Switzerland
230255,ChIJDWEotJ85jkcRRP-8NWlTN-E,46.9504896,7.438119,University of Bern,"Hochschulstrasse 6, 3012 Bern, Switzerland",https://www.unibe.ch/,Switzerland
230255,ChIJDWEotJ85jkcRRP-8NWlTN-E,46.9504896,7.438119,University of Bern,"Hochschulstrasse 6, 3012 Bern, Switzerland",https://www.unibe.ch/,Switzerland
230255,ChIJDWEotJ85jkcRRP-8NWlTN-E,46.9504896,7.438119,University of Bern,"Hochschulstrasse 6, 3012 Bern, Switzerland",https://www.unibe.ch/,Switzerland
251123,ChIJwwabNpgthEcRCUtLfZifj2E,46.0107081,8.9581559,USI Università della Svizzera italiana,"Via Giuseppe Buffi 13, 6900 Lugano, Switzerland",https://www.usi.ch/,Switzerland
251123,ChIJwwabNpgthEcRCUtLfZifj2E,46.0107081,8.9581559,USI Università della Svizzera italiana,"Via Giuseppe Buffi 13, 6900 Lugano, Switzerland",https://www.usi.ch/,Switzerland
135442,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
135442,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
135442,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
135442,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
135442,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
135442,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
135442,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
1454,ChIJ_yjtk9V6jEcRy3hLEksXCpY,46.1952445,6.1395198,Faculty Of Science Company,"Uni Mail, Bd du Pont-d'Arve 40, 1205 Genève, Switzerland",http://www.unige.ch/sciences-societe,Switzerland
1454,ChIJ_yjtk9V6jEcRy3hLEksXCpY,46.1952445,6.1395198,Faculty Of Science Company,"Uni Mail, Bd du Pont-d'Arve 40, 1205 Genève, Switzerland",http://www.unige.ch/sciences-societe,Switzerland
6113,ChIJi7zEMKkxjEcRBTbb-kFIEFg,46.5265728,6.5794921,Faculty Of Science Sociales Et Politiques,"1022 Chavannes-près-Renens, Switzerland",http://www.unil.ch/ssp/,Switzerland
132490,ChIJDWEotJ85jkcRRP-8NWlTN-E,46.9504896,7.438119,University of Bern,"Hochschulstrasse 6, 3012 Bern, Switzerland",https://www.unibe.ch/,Switzerland
132490,ChIJDWEotJ85jkcRRP-8NWlTN-E,46.9504896,7.438119,University of Bern,"Hochschulstrasse 6, 3012 Bern, Switzerland",https://www.unibe.ch/,Switzerland
132490,ChIJDWEotJ85jkcRRP-8NWlTN-E,46.9504896,7.438119,University of Bern,"Hochschulstrasse 6, 3012 Bern, Switzerland",https://www.unibe.ch/,Switzerland
221664,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
221664,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
221664,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
221664,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
221664,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
221664,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
221664,ChIJP6Ls3f0wjEcRcrKTf6s0zLs,46.5190557,6.5667576,Swiss Federal Institute of Technology Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",https://www.epfl.ch/,Switzerland
90107,ChIJi-EqC94KkEcR1GKO8rRappQ,47.4289176,8.5163584,Eidg. Forschungsanstalt Agroscope Reckenholz-Tänikon (ART),"Reckenholzstrasse 191, 8046 Zürich, Switzerland",http://www.agroscope.admin.ch/,Switzerland
249672,ChIJ47WfwB-Sll0RxmGQiu6WEAs,47.92120449999999,106.9542446,Institute of Astronomy and Geophysics,"WXC3+FMQ, Ulaanbaatar, Mongolia",NA,Mongolia
255827,ChIJgU6Zj4sKkEcR6O8wr4zTHcA,47.4111372,8.5333509,Happy Togo,"Affolternstrasse 140, 8050 Zürich, Switzerland",https://www.happytogo.ch/,Switzerland
107132,ChIJS1JenJ3okUcRZj9VU5uUX74,47.3730778,7.3248915,CABI Europe Switzerland,"Rue des Grillons 1, 2800 Delémont, Switzerland",https://yellow.local.ch/d/aTSG-S2-vGvHnQH2Tubz-g,Switzerland
6700,ChIJg5HE6QMKkEcR-m6y43Djh2w,47.370881,8.534587,Ethnographic Museum of the University of Zurich,"Pelikanstrasse 40, 8001 Zürich, Switzerland",http://www.musethno.uzh.ch/,Switzerland
245881,ChIJO8FDSdGbP44RsPaffWYw5T0,4.6381938,-74.08404639999999,Universidad Nacional de Colombia,"Cra 45, Bogotá, Colombia",http://unal.edu.co/,Colombia
243760,ChIJ_axHbtJ6jEcRobdy4NLhwgM,46.1939998,6.1487304,Hug Medicine Tropicale Et Humanitaire,"Rue Gabrielle-Perret-Gentil 6, 1205 Genève, Switzerland",https://www.hug-ge.ch/medecine-tropicale-humanitaire,Switzerland
229552,ChIJMQKj8wC5kUcRjBRGaJHolw0,47.55592780000001,7.577431699999999,Swiss Tropical And Public Health Institute,"Socinstrasse 57, 4051 Basel, Switzerland",https://www.swisstph.ch/de/,Switzerland
229552,ChIJMQKj8wC5kUcRjBRGaJHolw0,47.55592780000001,7.577431699999999,Swiss Tropical And Public Health Institute,"Socinstrasse 57, 4051 Basel, Switzerland",https://www.swisstph.ch/de/,Switzerland
229552,ChIJMQKj8wC5kUcRjBRGaJHolw0,47.55592780000001,7.577431699999999,Swiss Tropical And Public Health Institute,"Socinstrasse 57, 4051 Basel, Switzerland",https://www.swisstph.ch/de/,Switzerland
229552,ChIJMQKj8wC5kUcRjBRGaJHolw0,47.55592780000001,7.577431699999999,Swiss Tropical And Public Health Institute,"Socinstrasse 57, 4051 Basel, Switzerland",https://www.swisstph.ch/de/,Switzerland
229552,ChIJMQKj8wC5kUcRjBRGaJHolw0,47.55592780000001,7.577431699999999,Swiss Tropical And Public Health Institute,"Socinstrasse 57, 4051 Basel, Switzerland",https://www.swisstph.ch/de/,Switzerland
229552,ChIJMQKj8wC5kUcRjBRGaJHolw0,47.55592780000001,7.577431699999999,Swiss Tropical And Public Health Institute,"Socinstrasse 57, 4051 Basel, Switzerland",https://www.swisstph.ch/de/,Switzerland
229552,ChIJMQKj8wC5kUcRjBRGaJHolw0,47.55592780000001,7.577431699999999,Swiss Tropical And Public Health Institute,"Socinstrasse 57, 4051 Basel, Switzerland",https://www.swisstph.ch/de/,Switzerland
