gm_status,gm_icon,gm_lat,gm_lng,gm_addr,gm_name,gm_id,gm_types,enc_str
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,47.370881,8.534587,"Pelikanstrasse 40, 8001 Zürich, Schweiz",Völkerkundemuseum der Universität Zürich,ChIJg5HE6QMKkEcR-m6y43Djh2w,"museum,tourist_attraction,point_of_interest,establishment","V%C3%B6lkerkundemuseum%20Universit%C3%A4t%20Z%C3%BCrich,%20Z%C3%BCrich"
CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,4.6381938,-74.08404639999999,"Cra 45, Bogotá, Kolumbien",Universidad Nacional de Colombia,ChIJO8FDSdGbP44RsPaffWYw5T0,"university,point_of_interest,establishment","National%20University%20of%20Colombia,%20Bogota"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,46.1939998,6.1487304,"Rue Gabrielle-Perret-Gentil 6, 1205 Genève, Schweiz",Hug Medicine Tropicale Et Humanitaire,ChIJ_axHbtJ6jEcRobdy4NLhwgM,"hospital,health,point_of_interest,establishment","H%C3%B4pitaux%20Universitaires%20de%20Gen%C3%A8ve%20Division%20of%20Tropical%20and%20Humanitarian%20Medicine,%20Gen%C3%A8ve%204"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,13.7382832,100.5324698,"254 Phayathai Rd, Wang Mai, Pathum Wan District, Bangkok 10330, Thailand",Chulalongkorn Universität,ChIJP2Izriqf4jARkyA8pkMGHkI,"university,point_of_interest,establishment","Chulalongkorn%20University,%20Bangkok"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,-1.2593453,36.7508756,"Nairobi, Kenia",Kenya Agricultural Research Institute - Headquarters,ChIJuSP-j7wZLxgRRh_H7blgeAk,"point_of_interest,establishment","Kenya%20Agricultural%20Research%20Institute%20KARI-KABETE,%20Nairobi"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,46.9918182,7.468039500000001,"Länggasse 85, 3052 Zollikofen, Schweiz","Berner Fachhochschule BFH, Hochschule für Agrar-, Forst- und Lebensmittelwissenschaften HAFL",ChIJDfA94XI6jkcRvxKgu1lMdHk,"university,point_of_interest,establishment","Hochschule%20f%C3%BCr%20Agrar-,%20Forst-%20und%20Lebensmittel%20Berner%20Fachhochschule,%20Zollikofen"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,47.37638889999999,8.547628,"Rämistrasse 101, 8092 Zürich, Schweiz",Eidgenössische Technische Hochschule Zürich,ChIJ94xuUaagmkcRB3Y3tij0YUs,"university,point_of_interest,establishment","Center%20for%20Comparative%20and%20International%20Studies%20(CIS)%20and%20Institute%20for%20Environmental%20Decisions%20(IED),%20Z%C3%BCrich"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,47.37638889999999,8.547628,"Rämistrasse 101, 8092 Zürich, Schweiz",Eidgenössische Technische Hochschule Zürich,ChIJ94xuUaagmkcRB3Y3tij0YUs,"university,point_of_interest,establishment","Global%20Governance%20CIS%20ETH%20Z%C3%BCrich,%20Z%C3%BCrich"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,46.19540019999999,6.140874500000001,"Boulevard Carl-Vogt 101, 1205 Genève, Schweiz",Département d'économie politique,ChIJ8z_LgtV6jEcRUBSzYX9t4so,"university,point_of_interest,establishment","D%C3%A9partement%20de%20science%20politique%20et%20relations%20internationales%20Universit%C3%A9%20de%20Gen%C3%A8ve,%20Gen%C3%A8ve%204"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,51.2216391,0.3251283,"Ashes Ln, Tonbridge TN11 0AN, Grossbritannien",National Centre For Reptile Welfare,ChIJf0zUQNRJ30cRUEIXydJrHhQ,"point_of_interest,establishment","National%20Centre%20for%20Animal%20&%20P.%20Health%20CENSA,%20Havana"
