last_name,first_name,gender,institute_name,institute_place,person_id_snsf,ocrid,role,project_number,institute,institute_urlenc,institute_ascii
Beran,David Henri,male,Hôpitaux Universitaires de Genève Division of Tropical and Humanitarian Medicine,Genève 4,542249,NA,projects_as_responsible_applicant,160366,"Hôpitaux Universitaires de Genève Division of Tropical and Humanitarian Medicine, Genève 4","H%C3%B4pitaux%20Universitaires%20de%20Gen%C3%A8ve%20Division%20of%20Tropical%20and%20Humanitarian%20Medicine,%20Gen%C3%A8ve%204",Hopitaux Universitaires de Geneve Division of Tropical and Humanitarian Medicine Geneve 4
Bernath,Julie,female,Chulalongkorn University,Bangkok,697573,0000-0002-0242-6860,projects_as_employee,160867,"Chulalongkorn University, Bangkok","Chulalongkorn%20University,%20Bangkok",Chulalongkorn University Bangkok
Bikketi,Edward,male,Kenya Agricultural Research Institute KARI-KABETE,Nairobi,636151,NA,projects_as_applicant,152085,"Kenya Agricultural Research Institute KARI-KABETE, Nairobi","Kenya%20Agricultural%20Research%20Institute%20KARI-KABETE,%20Nairobi",Kenya Agricultural Research Institute KARI KABETE Nairobi
Blaser,Jürgen,male,"Hochschule für Agrar-, Forst- und Lebensmittel Berner Fachhochschule",Zollikofen,632813,NA,projects_as_applicant,177480,"Hochschule für Agrar-, Forst- und Lebensmittel Berner Fachhochschule, Zollikofen","Hochschule%20f%C3%BCr%20Agrar-,%20Forst-%20und%20Lebensmittel%20Berner%20Fachhochschule,%20Zollikofen",Hochschule fur Agrar Forst und Lebensmittel Berner Fachhochschule Zollikofen
Böhm,Susanne,female,Center for Comparative and International Studies (CIS) and Institute for Environmental Decisions (IED),Zürich,623148,NA,projects_as_employee,171175,"Center for Comparative and International Studies (CIS) and Institute for Environmental Decisions (IED), Zürich","Center%20for%20Comparative%20and%20International%20Studies%20(CIS)%20and%20Institute%20for%20Environmental%20Decisions%20(IED),%20Z%C3%BCrich",Center for Comparative and International Studies CIS and Institute for Environmental Decisions IED Zurich
Bohnet,Heidrun,female,Global Governance CIS ETH Zürich,Zürich,576939,NA,projects_as_employee,147210,"Global Governance CIS ETH Zürich, Zürich","Global%20Governance%20CIS%20ETH%20Z%C3%BCrich,%20Z%C3%BCrich",Global Governance CIS ETH Zurich Zurich
Bohnet,Heidrun,female,Département de science politique et relations internationales Université de Genève,Genève 4,576939,NA,projects_as_employee,147210,"Département de science politique et relations internationales Université de Genève, Genève 4","D%C3%A9partement%20de%20science%20politique%20et%20relations%20internationales%20Universit%C3%A9%20de%20Gen%C3%A8ve,%20Gen%C3%A8ve%204",Departement de science politique et relations internationales Universite de Geneve Geneve 4
Canizares,Ernesto Vega,male,National Centre for Animal & P. Health CENSA,Havana,706777,NA,projects_as_applicant,177346,"National Centre for Animal & P. Health CENSA, Havana","National%20Centre%20for%20Animal%20&%20P.%20Health%20CENSA,%20Havana",National Centre for Animal P Health CENSA Havana
Cannata,Massimiliano,male,Istituto Scienze della Terra DACD SUPSI,Canobbio,550672,NA,projects_as_responsible_applicant,160906,"Istituto Scienze della Terra DACD SUPSI, Canobbio","Istituto%20Scienze%20della%20Terra%20DACD%20SUPSI,%20Canobbio",Istituto Scienze della Terra DACD SUPSI Canobbio
Carrasco,Gualberto,male,Servicio Nacional de Meterologia e Hidrologia SENAMHI Bolivia,La Paz,626696,NA,projects_as_applicant,147320,"Servicio Nacional de Meterologia e Hidrologia SENAMHI Bolivia, La Paz","Servicio%20Nacional%20de%20Meterologia%20e%20Hidrologia%20SENAMHI%20Bolivia,%20La%20Paz",Servicio Nacional de Meterologia e Hidrologia SENAMHI Bolivia La Paz
Chairul,Nidom,male,Avian Influenza Research Center Universitas Airlangga,Surabaya,662200,NA,projects_as_applicant,160923,"Avian Influenza Research Center Universitas Airlangga, Surabaya","Avian%20Influenza%20Research%20Center%20Universitas%20Airlangga,%20Surabaya",Avian Influenza Research Center Universitas Airlangga Surabaya
Chauvet,Emmanuelle,female,"Département de Relations internationales et Science politique IHEID, Graduate Institute",Genève,641558,NA,projects_as_employee,177591,"Département de Relations internationales et Science politique IHEID, Graduate Institute, Genève","D%C3%A9partement%20de%20Relations%20internationales%20et%20Science%20politique%20IHEID,%20Graduate%20Institute,%20Gen%C3%A8ve",Departement de Relations internationales et Science politique IHEID Graduate Institute Geneve
Chege,Paul Gacheru,male,Practical Action - Eastern Africa,Nairobi,617130,NA,projects_as_applicant,146875,"Practical Action - Eastern Africa, Nairobi","Practical%20Action%20-%20Eastern%20Africa,%20Nairobi",Practical Action Eastern Africa Nairobi
Chettri,Nakul,male,ICIMOD International Centre for Integrated Mountain Development,Kathmandu,716885,NA,projects_as_applicant,177386,"ICIMOD International Centre for Integrated Mountain Development, Kathmandu","ICIMOD%20International%20Centre%20for%20Integrated%20Mountain%20Development,%20Kathmandu",ICIMOD International Centre for Integrated Mountain Development Kathmandu
Chipps,Jennifer,female,University of the Western Cape,Bellville,674252,NA,projects_as_applicant,160910,"University of the Western Cape, Bellville","University%20of%20the%20Western%20Cape,%20Bellville",University of the Western Cape Bellville
Cook,Sarah,female,United Nations Research Institute for Social Development (UNRISD),Genève 10,623495,NA,projects_as_employee,147725,"United Nations Research Institute for Social Development (UNRISD), Genève 10","United%20Nations%20Research%20Institute%20for%20Social%20Development%20(UNRISD),%20Gen%C3%A8ve%2010",United Nations Research Institute for Social Development UNRISD Geneve 10
Curbelo Alonso,Alfredo Jose,male,"Environmental Impacts Group, Energy Division Center for Information Management and Energy Developmen","Miramar, Playa",662170,NA,projects_as_applicant,160914,"Environmental Impacts Group, Energy Division Center for Information Management and Energy Developmen, Miramar, Playa","Environmental%20Impacts%20Group,%20Energy%20Division%20Center%20for%20Information%20Management%20and%20Energy%20Developmen,%20Miramar,%20Playa",Environmental Impacts Group Energy Division Center for Information Management and Energy Developmen Miramar Playa
D'Acremont,Valérie,female,Unisanté - Center for Primary Care and Public Health - Dept of Family Medicine University of Lausanne,Lausanne,528169,NA,projects_as_responsible_applicant,146896,"Unisanté - Center for Primary Care and Public Health - Dept of Family Medicine University of Lausanne, Lausanne","Unisant%C3%A9%20-%20Center%20for%20Primary%20Care%20and%20Public%20Health%20-%20Dept%20of%20Family%20Medicine%20University%20of%20Lausanne,%20Lausanne",Unisante Center for Primary Care and Public Health Dept of Family Medicine University of Lausanne Lausanne
Damasceno,Albertino,male,Eduardo Mondlane University Faculty of Medicine,Maputo,655363,NA,projects_as_applicant,160366,"Eduardo Mondlane University Faculty of Medicine, Maputo","Eduardo%20Mondlane%20University%20Faculty%20of%20Medicine,%20Maputo",Eduardo Mondlane University Faculty of Medicine Maputo
De Pietro,Carlo,male,"Dipartimento economia aziendale, sanità e sociale (DEASS) SUPSI",Manno,594705,NA,projects_as_employee,160373,"Dipartimento economia aziendale, sanità e sociale (DEASS) SUPSI, Manno","Dipartimento%20economia%20aziendale,%20sanit%C3%A0%20e%20sociale%20(DEASS)%20SUPSI,%20Manno",Dipartimento economia aziendale sanita e sociale DEASS SUPSI Manno
de Savigny,Don,male,Schweizerisches Tropen- und Public Health-Institut,Basel,617328,NA,projects_as_applicant,147286,"Schweizerisches Tropen- und Public Health-Institut, Basel","Schweizerisches%20Tropen-%20und%20Public%20Health-Institut,%20Basel",Schweizerisches Tropen und Public Health Institut Basel
Depetris Chauvin,Nicolas,male,Haute Ecole de Gestion de Geneve HES-SO,Carouge,623448,0000-0002-5238-3539,projects_as_applicant,147718,"Haute Ecole de Gestion de Geneve HES-SO, Carouge","Haute%20Ecole%20de%20Gestion%20de%20Geneve%20HES-SO,%20Carouge",Haute Ecole de Gestion de Geneve HES SO Carouge
