last_name,first_name,gender,institute_name,institute_place,person_id_snsf,ocrid,role,project_number,institute,institute_urlenc,institute_ascii
Jäger,Janine,female,Institut für Wirtschaftsinformatik Fachhochschule Nordwestschweiz Hochschule für Wirtschaft,Basel,737509,NA,projects_as_employee,160910,"Institut für Wirtschaftsinformatik Fachhochschule Nordwestschweiz Hochschule für Wirtschaft, Basel","Institut%20f%C3%BCr%20Wirtschaftsinformatik%20Fachhochschule%20Nordwestschweiz%20Hochschule%20f%C3%BCr%20Wirtschaft,%20Basel",Institut fur Wirtschaftsinformatik Fachhochschule Nordwestschweiz Hochschule fur Wirtschaft Basel
Jha,Nilambar,male,B P Koirala Institute of Health Sciences School of Public Health & Community Medicine,Dharan,665829,NA,projects_as_applicant,160366,"B P Koirala Institute of Health Sciences School of Public Health & Community Medicine, Dharan","B%20P%20Koirala%20Institute%20of%20Health%20Sciences%20School%20of%20Public%20Health%20&%20Community%20Medicine,%20Dharan",B P Koirala Institute of Health Sciences School of Public Health Community Medicine Dharan
Kahama-Maro,Judith,female,Dar es Salaam City Council City Medical Office Health,Dar es Salaam,533453,NA,projects_as_applicant,146896,"Dar es Salaam City Council City Medical Office Health, Dar es Salaam","Dar%20es%20Salaam%20City%20Council%20City%20Medical%20Office%20Health,%20Dar%20es%20Salaam",Dar es Salaam City Council City Medical Office Health Dar es Salaam
Karyanto,Oka,male,Faculty of Forestry Universitas Gadjah Mada,"Bulaksumur, Yogyakarta",674250,NA,projects_as_applicant,160906,"Faculty of Forestry Universitas Gadjah Mada, Bulaksumur, Yogyakarta","Faculty%20of%20Forestry%20Universitas%20Gadjah%20Mada,%20Bulaksumur,%20Yogyakarta",Faculty of Forestry Universitas Gadjah Mada Bulaksumur Yogyakarta
Kasasa,Simon,male,Makerere University,Makerere Main Campus,617329,NA,projects_as_applicant,147286,"Makerere University, Makerere Main Campus","Makerere%20University,%20Makerere%20Main%20Campus",Makerere University Makerere Main Campus
Käser,Fabian,male,Akademie der Naturwissenschaften Schweiz SCNAT,Bern,659578,NA,projects_as_employee,152033,"Akademie der Naturwissenschaften Schweiz SCNAT, Bern","Akademie%20der%20Naturwissenschaften%20Schweiz%20SCNAT,%20Bern",Akademie der Naturwissenschaften Schweiz SCNAT Bern
Keitel,Kristina,female,Klinik und Poliklinik für Kinderheilkunde Medizinische Universitäts-Kinderklinik Inselspital,Bern,709797,0000-0002-9663-3843,projects_as_employee,146896,"Klinik und Poliklinik für Kinderheilkunde Medizinische Universitäts-Kinderklinik Inselspital, Bern","Klinik%20und%20Poliklinik%20f%C3%BCr%20Kinderheilkunde%20Medizinische%20Universit%C3%A4ts-Kinderklinik%20Inselspital,%20Bern",Klinik und Poliklinik fur Kinderheilkunde Medizinische Universitats Kinderklinik Inselspital Bern
Kemper,Johanna Mirka,female,Research Division Education Systems Swiss Economic Institute Swiss Federal Institute for Technology ETH,Zürich,672232,NA,projects_as_employee,169632,"Research Division Education Systems Swiss Economic Institute Swiss Federal Institute for Technology ETH, Zürich","Research%20Division%20Education%20Systems%20Swiss%20Economic%20Institute%20Swiss%20Federal%20Institute%20for%20Technology%20ETH,%20Z%C3%BCrich",Research Division Education Systems Swiss Economic Institute Swiss Federal Institute for Technology ETH Zurich
Khan Mohammad,Guive,male,Global Studies Institute Université de Genève,Genève,673931,NA,projects_as_employee,160929,"Global Studies Institute Université de Genève, Genève","Global%20Studies%20Institute%20Universit%C3%A9%20de%20Gen%C3%A8ve,%20Gen%C3%A8ve",Global Studies Institute Universite de Geneve Geneve
Kiba,Delwendé Innocent,male,Group of Plant Nutrition Institute of Agricultural Sciences ETH Zurich,Lindau,658638,NA,projects_as_employee,152017,"Group of Plant Nutrition Institute of Agricultural Sciences ETH Zurich, Lindau","Group%20of%20Plant%20Nutrition%20Institute%20of%20Agricultural%20Sciences%20ETH%20Zurich,%20Lindau",Group of Plant Nutrition Institute of Agricultural Sciences ETH Zurich Lindau
Lachat,Sarah,female,Université de Genève,Genève,698474,NA,projects_as_employee,160366,"Université de Genève, Genève","Universit%C3%A9%20de%20Gen%C3%A8ve,%20Gen%C3%A8ve",Universite de Geneve Geneve
Laman,Moses,male,Papua New Guinea PNG Institute of Medical Researh,Madang,674208,NA,projects_as_applicant,160909,"Papua New Guinea PNG Institute of Medical Researh, Madang","Papua%20New%20Guinea%20PNG%20Institute%20of%20Medical%20Researh,%20Madang",Papua New Guinea PNG Institute of Medical Researh Madang
Lavado Casimiro,Waldo Sven,male,Servicio Nacional de Meterologia e Hidrologia del Peru SENAMHI,Lima,617361,NA,projects_as_applicant,147320,"Servicio Nacional de Meterologia e Hidrologia del Peru SENAMHI, Lima","Servicio%20Nacional%20de%20Meterologia%20e%20Hidrologia%20del%20Peru%20SENAMHI,%20Lima",Servicio Nacional de Meterologia e Hidrologia del Peru SENAMHI Lima
Le Roux,Johannes,male,Centre for Invasion Biology Botany and Zoology Stellenbosch University,Stellenbosch,655151,NA,projects_as_applicant,177588,"Centre for Invasion Biology Botany and Zoology Stellenbosch University, Stellenbosch","Centre%20for%20Invasion%20Biology%20Botany%20and%20Zoology%20Stellenbosch%20University,%20Stellenbosch",Centre for Invasion Biology Botany and Zoology Stellenbosch University Stellenbosch
Lejone,Thabo Ismael,male,"SolidarMed, Swiss Organization for Health in",Butha-Buthe,661998,NA,projects_as_applicant,160876,"SolidarMed, Swiss Organization for Health in, Butha-Buthe","SolidarMed,%20Swiss%20Organization%20for%20Health%20in,%20Butha-Buthe",SolidarMed Swiss Organization for Health in Butha Buthe
Linders,Theo,male,Rijksvastgoedbedrijf Ministry of the Interior,Wageningen,675951,NA,projects_as_employee,152085,"Rijksvastgoedbedrijf Ministry of the Interior, Wageningen","Rijksvastgoedbedrijf%20Ministry%20of%20the%20Interior,%20Wageningen",Rijksvastgoedbedrijf Ministry of the Interior Wageningen
Lühe,Ulrike,female,Swiss Peace Foundation - swisspeace,Bern,696340,NA,projects_as_employee,160867,"Swiss Peace Foundation - swisspeace, Bern","Swiss%20Peace%20Foundation%20-%20swisspeace,%20Bern",Swiss Peace Foundation swisspeace Bern
Lyatuu,Isaac,male,Ifakara Health Institute Department of Environmental Health and Ecological Sciences,Ifakara,758490,NA,projects_as_applicant,194003,"Ifakara Health Institute Department of Environmental Health and Ecological Sciences, Ifakara","Ifakara%20Health%20Institute%20Department%20of%20Environmental%20Health%20and%20Ecological%20Sciences,%20Ifakara",Ifakara Health Institute Department of Environmental Health and Ecological Sciences Ifakara
Madrazo,Jessie,female,Laboratoire de systèmes d'information géographique EPFL - ENAC - IIE - LASIG,Lausanne,657149,NA,projects_as_employee,160914,"Laboratoire de systèmes d'information géographique EPFL - ENAC - IIE - LASIG, Lausanne","Laboratoire%20de%20syst%C3%A8mes%20d'information%20g%C3%A9ographique%20EPFL%20-%20ENAC%20-%20IIE%20-%20LASIG,%20Lausanne",Laboratoire de systemes d information geographique EPFL ENAC IIE LASIG Lausanne
Mahanama,P.K. Seneviratne,male,Department of Town and Country Planning University of Moratuwa,Katubedda,617252,NA,projects_as_applicant,160906,"Department of Town and Country Planning University of Moratuwa, Katubedda","Department%20of%20Town%20and%20Country%20Planning%20University%20of%20Moratuwa,%20Katubedda",Department of Town and Country Planning University of Moratuwa Katubedda
Manirakiza,Désiré,male,IRSA Faculté de Sciences sociales et de Gestion Catholic University of Central Africa,Yaoundé,706378,NA,projects_as_applicant,177296,"IRSA Faculté de Sciences sociales et de Gestion Catholic University of Central Africa, Yaoundé","IRSA%20Facult%C3%A9%20de%20Sciences%20sociales%20et%20de%20Gestion%20Catholic%20University%20of%20Central%20Africa,%20Yaound%C3%A9",IRSA Faculte de Sciences sociales et de Gestion Catholic University of Central Africa Yaounde
Marur,Siddhant,male,"Centre on Conflict, Development and Peacebuilding (CCDP) IHEID",Genève 1,718463,NA,projects_as_employee,169564,"Centre on Conflict, Development and Peacebuilding (CCDP) IHEID, Genève 1","Centre%20on%20Conflict,%20Development%20and%20Peacebuilding%20(CCDP)%20IHEID,%20Gen%C3%A8ve%201",Centre on Conflict Development and Peacebuilding CCDP IHEID Geneve 1
Masanja,Honorati,male,Ifakara Health Institute,Dar es Salaam,552030,NA,projects_as_applicant,183760,"Ifakara Health Institute, Dar es Salaam","Ifakara%20Health%20Institute,%20Dar%20es%20Salaam",Ifakara Health Institute Dar es Salaam
Matthys,Marie-Luise,female,Interdisziplinäres Zentrum für Geschlechterforschung Universität Bern,Bern,716279,NA,projects_as_employee,171191,"Interdisziplinäres Zentrum für Geschlechterforschung Universität Bern, Bern","Interdisziplin%C3%A4res%20Zentrum%20f%C3%BCr%20Geschlechterforschung%20Universit%C3%A4t%20Bern,%20Bern",Interdisziplinares Zentrum fur Geschlechterforschung Universitat Bern Bern
Mauchle,Fabian,male,MeteoSchweiz,Zürich,617348,NA,projects_as_employee,147320,"MeteoSchweiz, Zürich","MeteoSchweiz,%20Z%C3%BCrich",MeteoSchweiz Zurich
Michelo,Charles,male,Department of Public Health University of Zambia,Lusaka,662139,NA,projects_as_applicant,160910,"Department of Public Health University of Zambia, Lusaka","Department%20of%20Public%20Health%20University%20of%20Zambia,%20Lusaka",Department of Public Health University of Zambia Lusaka
Milet,Emmanuel,male,Université de Genève,Genève 4,647018,NA,projects_as_employee,147718,"Université de Genève, Genève 4","Universit%C3%A9%20de%20Gen%C3%A8ve,%20Gen%C3%A8ve%204",Universite de Geneve Geneve 4
Miranda,J. Jaime,male,Universidad Peruana Cayetano Heredia,Lima,655360,NA,projects_as_applicant,160366,"Universidad Peruana Cayetano Heredia, Lima","Universidad%20Peruana%20Cayetano%20Heredia,%20Lima",Universidad Peruana Cayetano Heredia Lima
Mongbo,Roch,male,"Université d’Abomey-Calavi Faculté des Sciences Agronomiques Lab. of Genetics, Horticulture and Seed Sc.",Cotonou,634129,NA,projects_as_applicant,177584,"Université d’Abomey-Calavi Faculté des Sciences Agronomiques Lab. of Genetics, Horticulture and Seed Sc., Cotonou","Universit%C3%A9%20d%E2%80%99Abomey-Calavi%20Facult%C3%A9%20des%20Sciences%20Agronomiques%20Lab.%20of%20Genetics,%20Horticulture%20and%20Seed%20Sc.,%20Cotonou",Universite d Abomey Calavi Faculte des Sciences Agronomiques Lab of Genetics Horticulture and Seed Sc Cotonou
Moreno,Isabel,female,Universidad Mayor de San Andrés (UMSA),La Paz,617358,NA,projects_as_applicant,147320,"Universidad Mayor de San Andrés (UMSA), La Paz","Universidad%20Mayor%20de%20San%20Andr%C3%A9s%20(UMSA),%20La%20Paz",Universidad Mayor de San Andres UMSA La Paz
Moro,Leben Nelson,male,University of Juba,Juba,661981,NA,projects_as_applicant,160867,"University of Juba, Juba","University%20of%20Juba,%20Juba",University of Juba Juba
Munishi,Pantaleo,male,"Department of Ecosystems and Conservation College of Forestry, Wildlife and Tourism Sokoine University of Agriculture",Morogoro,519234,NA,projects_as_applicant,177386,"Department of Ecosystems and Conservation College of Forestry, Wildlife and Tourism Sokoine University of Agriculture, Morogoro","Department%20of%20Ecosystems%20and%20Conservation%20College%20of%20Forestry,%20Wildlife%20and%20Tourism%20Sokoine%20University%20of%20Agriculture,%20Morogoro",Department of Ecosystems and Conservation College of Forestry Wildlife and Tourism Sokoine University of Agriculture Morogoro
Mwanahamuntu,Mulindi,male,Cervical Cancer Prevention Program in Zambia Women and Newborn Hospital University of Zambia,Lusaka,706469,NA,projects_as_applicant,177319,"Cervical Cancer Prevention Program in Zambia Women and Newborn Hospital University of Zambia, Lusaka","Cervical%20Cancer%20Prevention%20Program%20in%20Zambia%20Women%20and%20Newborn%20Hospital%20University%20of%20Zambia,%20Lusaka",Cervical Cancer Prevention Program in Zambia Women and Newborn Hospital University of Zambia Lusaka
Narayanan,NC,male,Indian Institute of Technology Bombay,Mumbai,662002,NA,projects_as_applicant,177322,"Indian Institute of Technology Bombay, Mumbai","Indian%20Institute%20of%20Technology%20Bombay,%20Mumbai",Indian Institute of Technology Bombay Mumbai
Nasser,Randa,female,Department of social and behavioral science Faculty of Arts Birzeit University,Birzeit,690582,NA,projects_as_applicant,171188,"Department of social and behavioral science Faculty of Arts Birzeit University, Birzeit","Department%20of%20social%20and%20behavioral%20science%20Faculty%20of%20Arts%20Birzeit%20University,%20Birzeit",Department of social and behavioral science Faculty of Arts Birzeit University Birzeit
Nkot,Pierre Fabien,male,"Group of Administrative, Political and Social Research University of Yaoundé II",Yaounde,617056,NA,projects_as_applicant,160929,"Group of Administrative, Political and Social Research University of Yaoundé II, Yaounde","Group%20of%20Administrative,%20Political%20and%20Social%20Research%20University%20of%20Yaound%C3%A9%20II,%20Yaounde",Group of Administrative Political and Social Research University of Yaounde II Yaounde
Nzene Halleson,Durrel,male,WWF Cameroon Programme Office Immeuble Panda,Yaoundé,645505,NA,projects_as_applicant,152019,"WWF Cameroon Programme Office Immeuble Panda, Yaoundé","WWF%20Cameroon%20Programme%20Office%20Immeuble%20Panda,%20Yaound%C3%A9",WWF Cameroon Programme Office Immeuble Panda Yaounde
Obrist,Brigit,female,Swiss Tropical and Public Health Institute,Basel,29512,NA,projects_as_applicant,160919,"Swiss Tropical and Public Health Institute, Basel","Swiss%20Tropical%20and%20Public%20Health%20Institute,%20Basel",Swiss Tropical and Public Health Institute Basel
Oduro,Abena Frempoma Daagye,female,Department of Economics University of Ghana,Accra,632639,NA,projects_as_applicant,147836,"Department of Economics University of Ghana, Accra","Department%20of%20Economics%20University%20of%20Ghana,%20Accra",Department of Economics University of Ghana Accra
Okumu,Fredros,male,Ifakara Health Institute (IHI),"Ifakara, Morogoro",683117,NA,projects_as_applicant,169461,"Ifakara Health Institute (IHI), Ifakara, Morogoro","Ifakara%20Health%20Institute%20(IHI),%20Ifakara,%20Morogoro",Ifakara Health Institute IHI Ifakara Morogoro
Onyesoh,Joy Ada,female,WILPF Nigeria,Enugu,690466,NA,projects_as_applicant,171176,"WILPF Nigeria, Enugu","WILPF%20Nigeria,%20Enugu",WILPF Nigeria Enugu
Ouattara,Lassine,male,Université de Cocody,Abidjan,524806,NA,projects_as_applicant,146919,"Université de Cocody, Abidjan","Universit%C3%A9%20de%20Cocody,%20Abidjan",Universite de Cocody Abidjan
Oyuntsetseg,Dolgorjav,female,Laboratory of Ecological Chemistry Inst. of Chemistry and Chemical Technology Mongolian Academy of Sciences,Ulaanbaatar,706754,NA,projects_as_applicant,177474,"Laboratory of Ecological Chemistry Inst. of Chemistry and Chemical Technology Mongolian Academy of Sciences, Ulaanbaatar","Laboratory%20of%20Ecological%20Chemistry%20Inst.%20of%20Chemistry%20and%20Chemical%20Technology%20Mongolian%20Academy%20of%20Sciences,%20Ulaanbaatar",Laboratory of Ecological Chemistry Inst of Chemistry and Chemical Technology Mongolian Academy of Sciences Ulaanbaatar
Pacheco,Pablo,male,Forests and Governance Programme Center for International Forestry Research,Bogor,644054,NA,projects_as_applicant,152019,"Forests and Governance Programme Center for International Forestry Research, Bogor","Forests%20and%20Governance%20Programme%20Center%20for%20International%20Forestry%20Research,%20Bogor",Forests and Governance Programme Center for International Forestry Research Bogor
Paz Lemus,Tatiana,female,Universidad del Valle de Guatemala,Guatemala City,706662,NA,projects_as_applicant,177385,"Universidad del Valle de Guatemala, Guatemala City","Universidad%20del%20Valle%20de%20Guatemala,%20Guatemala%20City",Universidad del Valle de Guatemala Guatemala City
Penamora,Luisito J.,male,Philippine Coconut Autority Non-Food Products Development Division Zamboanga Research Center,Zamboanga City,706780,NA,projects_as_applicant,177480,"Philippine Coconut Autority Non-Food Products Development Division Zamboanga Research Center, Zamboanga City","Philippine%20Coconut%20Autority%20Non-Food%20Products%20Development%20Division%20Zamboanga%20Research%20Center,%20Zamboanga%20City",Philippine Coconut Autority Non Food Products Development Division Zamboanga Research Center Zamboanga City
Penton Fernandez,Gertrudis,female,Estacion Experimental de Pastos Indio Hatuey,Havana,706775,NA,projects_as_applicant,177346,"Estacion Experimental de Pastos Indio Hatuey, Havana","Estacion%20Experimental%20de%20Pastos%20Indio%20Hatuey,%20Havana",Estacion Experimental de Pastos Indio Hatuey Havana
Pérez Consuegra,Nilda,female,Agrarian University of Havana,San José de las Lajas,706781,NA,projects_as_applicant,177481,"Agrarian University of Havana, San José de las Lajas","Agrarian%20University%20of%20Havana,%20San%20Jos%C3%A9%20de%20las%20Lajas",Agrarian University of Havana San Jose de las Lajas
PESANTES VILLA,Maria Amalia,female,CRONICAS Universidad Peruana Cayetano Heradia,Lima,752980,NA,projects_as_employee,177385,"CRONICAS Universidad Peruana Cayetano Heradia, Lima","CRONICAS%20Universidad%20Peruana%20Cayetano%20Heradia,%20Lima",CRONICAS Universidad Peruana Cayetano Heradia Lima
Peter,Wilfred,male,Modilon General Hospital,Madang,674213,NA,projects_as_applicant,160909,"Modilon General Hospital, Madang","Modilon%20General%20Hospital,%20Madang",Modilon General Hospital Madang
Pimmer,Christoph,male,Swiss Educational Innovation Network SEIN Schweizerisches Netzwerk für Bildungsinnovat,Basel,598722,NA,projects_as_employee,160910,"Swiss Educational Innovation Network SEIN Schweizerisches Netzwerk für Bildungsinnovat, Basel","Swiss%20Educational%20Innovation%20Network%20SEIN%20Schweizerisches%20Netzwerk%20f%C3%BCr%20Bildungsinnovat,%20Basel",Swiss Educational Innovation Network SEIN Schweizerisches Netzwerk fur Bildungsinnovat Basel
Pomat,William,male,Institute of Medical Research Papua New Guinea,Goroka,662134,NA,projects_as_applicant,160909,"Institute of Medical Research Papua New Guinea, Goroka","Institute%20of%20Medical%20Research%20Papua%20New%20Guinea,%20Goroka",Institute of Medical Research Papua New Guinea Goroka
Properzi,Milena,female,Haute école de gestion Arc HES-SO,Neuchâtel,528307,NA,projects_as_applicant,147330,"Haute école de gestion Arc HES-SO, Neuchâtel","Haute%20%C3%A9cole%20de%20gestion%20Arc%20HES-SO,%20Neuch%C3%A2tel",Haute ecole de gestion Arc HES SO Neuchatel
Purevsuren,Dorj,male,National Renewable Energy Centre,Ulaanbaatar,706755,NA,projects_as_applicant,177474,"National Renewable Energy Centre, Ulaanbaatar","National%20Renewable%20Energy%20Centre,%20Ulaanbaatar",National Renewable Energy Centre Ulaanbaatar
Rahmawati,Arifah,female,CENTER FOR SECURITY AND PEACE STUDIES  GADJAH MADA UNIVERSITY,Yogyakarta,690467,NA,projects_as_applicant,171176,"CENTER FOR SECURITY AND PEACE STUDIES GADJAH MADA UNIVERSITY, Yogyakarta","CENTER%20FOR%20SECURITY%20AND%20PEACE%20STUDIES%20GADJAH%20MADA%20UNIVERSITY,%20Yogyakarta",CENTER FOR SECURITY AND PEACE STUDIES GADJAH MADA UNIVERSITY Yogyakarta
Raihan,Selim,male,Department of Economics University of Dhaka,Dhaka,623719,NA,projects_as_applicant,147836,"Department of Economics University of Dhaka, Dhaka","Department%20of%20Economics%20University%20of%20Dhaka,%20Dhaka",Department of Economics University of Dhaka Dhaka
Rakotomanana,Faly Hery,male,Institut National de la Statistique de Madagascar,Antananarivo,632636,NA,projects_as_applicant,147836,"Institut National de la Statistique de Madagascar, Antananarivo","Institut%20National%20de%20la%20Statistique%20de%20Madagascar,%20Antananarivo",Institut National de la Statistique de Madagascar Antananarivo
Randriamboavonjy,Jean Chrysostom,male,Ecole supérieure de sciences agronomiques ESSA Département Eaux et forêts,Antanarivo,617067,NA,projects_as_applicant,146791,"Ecole supérieure de sciences agronomiques ESSA Département Eaux et forêts, Antanarivo","Ecole%20sup%C3%A9rieure%20de%20sciences%20agronomiques%20ESSA%20D%C3%A9partement%20Eaux%20et%20for%C3%AAts,%20Antanarivo",Ecole superieure de sciences agronomiques ESSA Departement Eaux et forets Antanarivo
Rankin,Neil Andrew,male,School of Economic and Business Sciences University of the Witwatersrand,Johannesburg,623723,NA,projects_as_applicant,147836,"School of Economic and Business Sciences University of the Witwatersrand, Johannesburg","School%20of%20Economic%20and%20Business%20Sciences%20University%20of%20the%20Witwatersrand,%20Johannesburg",School of Economic and Business Sciences University of the Witwatersrand Johannesburg
Razanaka,Samuel,male,Centre National de Recherche sur l'Environnement (CNRE),Antananarivo,617065,NA,projects_as_applicant,146791,"Centre National de Recherche sur l'Environnement (CNRE), Antananarivo","Centre%20National%20de%20Recherche%20sur%20l'Environnement%20(CNRE),%20Antananarivo",Centre National de Recherche sur l Environnement CNRE Antananarivo
Rodriguez Hernandez,Mayra Guadalupe,female,Centro Nacional de Sanidad Agropecuaria CENSA,Havanna,706774,NA,projects_as_applicant,177346,"Centro Nacional de Sanidad Agropecuaria CENSA, Havanna","Centro%20Nacional%20de%20Sanidad%20Agropecuaria%20CENSA,%20Havanna",Centro Nacional de Sanidad Agropecuaria CENSA Havanna
Rossa,Andrea,male,Bundesamt für Meteorologie und Klimatologie MeteoSwiss,Zürich,626692,NA,projects_as_applicant,147320,"Bundesamt für Meteorologie und Klimatologie MeteoSwiss, Zürich","Bundesamt%20f%C3%BCr%20Meteorologie%20und%20Klimatologie%20MeteoSwiss,%20Z%C3%BCrich",Bundesamt fur Meteorologie und Klimatologie MeteoSwiss Zurich
Ruiz Zevallos,Juan Ruben,male,Universidad Catolica Sedes Sapientiae - Nopo,Atalaya,706663,NA,projects_as_applicant,177385,"Universidad Catolica Sedes Sapientiae - Nopo, Atalaya","Universidad%20Catolica%20Sedes%20Sapientiae%20-%20Nopo,%20Atalaya",Universidad Catolica Sedes Sapientiae Nopo Atalaya
Salari,Paola,female,Swiss Tropical and Public Health Institute Health Interventions Unit,Basel,623749,NA,projects_as_employee,160373,"Swiss Tropical and Public Health Institute Health Interventions Unit, Basel","Swiss%20Tropical%20and%20Public%20Health%20Institute%20Health%20Interventions%20Unit,%20Basel",Swiss Tropical and Public Health Institute Health Interventions Unit Basel
Salavassa,João,male,Unilurio University Campus de Marrere,Nampula,674225,NA,projects_as_applicant,160897,"Unilurio University Campus de Marrere, Nampula","Unilurio%20University%20Campus%20de%20Marrere,%20Nampula",Unilurio University Campus de Marrere Nampula
Samaké,Odiaba,male,Centre Régional de Recherche Agronomique Institut d'Economie Rurale (IER),Sikasso,634586,NA,projects_as_applicant,152224,"Centre Régional de Recherche Agronomique Institut d'Economie Rurale (IER), Sikasso","Centre%20R%C3%A9gional%20de%20Recherche%20Agronomique%20Institut%20d'Economie%20Rurale%20(IER),%20Sikasso",Centre Regional de Recherche Agronomique Institut d Economie Rurale IER Sikasso
Samrock,Friedemann,male,Departement Erdwissenschaften ETH Zürich,Zürich,701762,NA,projects_as_responsible_applicant,177474,"Departement Erdwissenschaften ETH Zürich, Zürich","Departement%20Erdwissenschaften%20ETH%20Z%C3%BCrich,%20Z%C3%BCrich",Departement Erdwissenschaften ETH Zurich Zurich
Sawe,Estomih N.,male,TaTEDO Centre for Sustainable Modern Energy Experti,Kijitonyama,617134,NA,projects_as_applicant,146875,"TaTEDO Centre for Sustainable Modern Energy Experti, Kijitonyama","TaTEDO%20Centre%20for%20Sustainable%20Modern%20Energy%20Experti,%20Kijitonyama",TaTEDO Centre for Sustainable Modern Energy Experti Kijitonyama
Schär,Markus,male,"Architektur, Holz und Bau Berner Fachhochschule",Biel/Bienne 6,775445,NA,projects_as_employee,177480,"Architektur, Holz und Bau Berner Fachhochschule, Biel/Bienne 6","Architektur,%20Holz%20und%20Bau%20Berner%20Fachhochschule,%20Biel/Bienne%206",Architektur Holz und Bau Berner Fachhochschule Biel Bienne 6
Schmidt,Hans-Peter,male,Ithaka Institute for Carbon Strategies,Arbaz,705801,0000-0001-8275-7506,projects_as_responsible_applicant,177346,"Ithaka Institute for Carbon Strategies, Arbaz","Ithaka%20Institute%20for%20Carbon%20Strategies,%20Arbaz",Ithaka Institute for Carbon Strategies Arbaz
Schuler,Maria-Theres,female,Ethnologisches Seminar Universität Zürich,Zürich,616658,0000-0002-1233-0782,projects_as_employee,147350,"Ethnologisches Seminar Universität Zürich, Zürich","Ethnologisches%20Seminar%20Universit%C3%A4t%20Z%C3%BCrich,%20Z%C3%BCrich",Ethnologisches Seminar Universitat Zurich Zurich
Shahid,Imran,male,Institute of Space Technology Department of Space Science,Islamabad,674247,NA,projects_as_applicant,160906,"Institute of Space Technology Department of Space Science, Islamabad","Institute%20of%20Space%20Technology%20Department%20of%20Space%20Science,%20Islamabad",Institute of Space Technology Department of Space Science Islamabad
Sharma,Anjali,female,Centre Infectious Disease Research Zambia CIDRZ,Lusaka,706470,NA,projects_as_applicant,177319,"Centre Infectious Disease Research Zambia CIDRZ, Lusaka","Centre%20Infectious%20Disease%20Research%20Zambia%20CIDRZ,%20Lusaka",Centre Infectious Disease Research Zambia CIDRZ Lusaka
Sichone,Owen,male,Copperbelt University Deg Hammarskjöld Institute for Peace Studies,Kitwe,690442,NA,projects_as_applicant,171175,"Copperbelt University Deg Hammarskjöld Institute for Peace Studies, Kitwe","Copperbelt%20University%20Deg%20Hammarskj%C3%B6ld%20Institute%20for%20Peace%20Studies,%20Kitwe",Copperbelt University Deg Hammarskjold Institute for Peace Studies Kitwe
Sié,Ali,male,Centre de Recherche en Santé de Nouna,"Nouna, Kossi",617327,NA,projects_as_applicant,147286,"Centre de Recherche en Santé de Nouna, Nouna, Kossi","Centre%20de%20Recherche%20en%20Sant%C3%A9%20de%20Nouna,%20Nouna,%20Kossi",Centre de Recherche en Sante de Nouna Nouna Kossi
Somerville,Claire,female,Graduate Institute of International and Deve Global Health Programme Maison de la paix,Genève,630669,NA,projects_as_applicant,160366,"Graduate Institute of International and Deve Global Health Programme Maison de la paix, Genève","Graduate%20Institute%20of%20International%20and%20Deve%20Global%20Health%20Programme%20Maison%20de%20la%20paix,%20Gen%C3%A8ve",Graduate Institute of International and Deve Global Health Programme Maison de la paix Geneve
Somphou,Sayasone,male,Lao Tropical and Public Health Institute International Program for Health in Tropics,Vientiane,617233,NA,projects_as_applicant,160930,"Lao Tropical and Public Health Institute International Program for Health in Tropics, Vientiane","Lao%20Tropical%20and%20Public%20Health%20Institute%20International%20Program%20for%20Health%20in%20Tropics,%20Vientiane",Lao Tropical and Public Health Institute International Program for Health in Tropics Vientiane
Spurk,Christoph,male,Institut für Angewandte Medienwissenschaften Zürcher Hochschule für Angew. Wissenschaften,Winterthur,533551,NA,projects_as_employee,177582,"Institut für Angewandte Medienwissenschaften Zürcher Hochschule für Angew. Wissenschaften, Winterthur","Institut%20f%C3%BCr%20Angewandte%20Medienwissenschaften%20Z%C3%BCrcher%20Hochschule%20f%C3%BCr%20Angew.%20Wissenschaften,%20Winterthur",Institut fur Angewandte Medienwissenschaften Zurcher Hochschule fur Angew Wissenschaften Winterthur
Spurk,Christoph,male,Forschungsinstitut für biologischen Landbau (FiBL),Frick,672753,NA,projects_as_employee,152224,"Forschungsinstitut für biologischen Landbau (FiBL), Frick","Forschungsinstitut%20f%C3%BCr%20biologischen%20Landbau%20(FiBL),%20Frick",Forschungsinstitut fur biologischen Landbau FiBL Frick
Stamer,Andreas,male,Aquakultur Fachgruppe Tierwissenschaften Forschungsinstitut für biologischen Landbau,Frick,626669,NA,projects_as_employee,147278,"Aquakultur Fachgruppe Tierwissenschaften Forschungsinstitut für biologischen Landbau, Frick","Aquakultur%20Fachgruppe%20Tierwissenschaften%20Forschungsinstitut%20f%C3%BCr%20biologischen%20Landbau,%20Frick",Aquakultur Fachgruppe Tierwissenschaften Forschungsinstitut fur biologischen Landbau Frick
Thin,Kyaw,male,Golden Zaneka Public Co. Ltd.,Yangon,661996,NA,projects_as_applicant,160876,"Golden Zaneka Public Co. Ltd., Yangon","Golden%20Zaneka%20Public%20Co.%20Ltd.,%20Yangon",Golden Zaneka Public Co Ltd Yangon
Thuy,Nguyen Thu,female,Foreign Trade University,Hanoi,623725,NA,projects_as_applicant,147836,"Foreign Trade University, Hanoi","Foreign%20Trade%20University,%20Hanoi",Foreign Trade University Hanoi
