last_name,first_name,gender,institute_name,institute_place,person_id_snsf,ocrid,role,project_number
Torres,Ricardo,male,Universidad de Antioquia,Medellin,617144,NA,projects_as_applicant,146919
Torrico Ramirez,Andres,male,NA,NA,705788,NA,projects_as_employee,152034
Traoré,O. Isabelle,female,NA,NA,750022,NA,projects_as_employee,177584
Tschopp,Maurice,male,Centre for Development and Environment University of Bern,Bern,651782,NA,projects_as_employee,147725
Tserendug,Shoovdor,male,Research Center of Astronomy and Geophysics Institute of Geophysics Mongolian Academy of Sciences,Ulaanbaatar - 51,716884,NA,projects_as_applicant,177474
Turtós Carbonell,Leonor María,female,"Environmental Impacts Group, Energy Division Center for Information Management and Energy Developmen","Miramar, Playa",662168,NA,projects_as_applicant,160914
Vallely,Andrew,male,Institute of Medical Research Papua New Guinea,Goroka,662135,NA,projects_as_applicant,160909
Van Wilgen,Brian,male,Centre for Invasion Biology Department of Botany and Zoology University of Stellenbosch,Matieland,634306,NA,projects_as_applicant,152085
Velasquez,Agustin,male,NA,NA,715428,NA,projects_as_employee,171177
Verykouki,Eleni,female,NA,NA,672999,NA,projects_as_employee,147286
Waldmeier,Esther,female,NA,NA,730969,NA,projects_as_employee,169564
Wild,Gyulnash,female,NA,NA,759411,NA,projects_as_employee,177480
Willemin,Rémi,male,NA,NA,699886,NA,projects_as_employee,152167
Wymann von Dach,Susanne,female,NA,NA,641066,NA,projects_as_employee,146875
Yao,Roch Gnabeli,male,Université Felix Houphouet-Boigny,Abidjan,690441,NA,projects_as_applicant,171175
Zah,Rainer,male,Quantis Switzerland/Germany,Zürich,75673,NA,projects_as_applicant,146875
Zharmukhamedova,Galiya,female,Department of Selection and Fruit-Berry Cultures Research Kazakh Inst. of Horticulture & Viticulture,Almaty,635518,NA,projects_as_applicant,177515
Zurkinden,Carmen,female,NA,NA,704642,NA,projects_as_employee,152033
