organizations_id,organizations_name,lat,lng,gmaps_id,address,country,website,organizations_disciplines_id,organizations_funder_id,partner_organizations_id,organizations_project_id
258191,الجامعة الألمانية بالقاهرة,29.986716,31.4414096,ChIJc76vv7I8WBQRbXKUYBEgcm4,"التجمع الثالث القاهرة الجديدة Al tagamoa, Egypt",Egypt,http://www.guc.edu.eg/,"30000,30400,30401",1,"247784,254912,255836,258101",198887
240197,Hawassa University,7.0510585,38.4970211,ChIJJ8qtEZNPsRcRWjRHGgEFkX0,"3F2W+CRC, Awassa, Ethiopia",Ethiopia,http://www.hu.edu.et/,"10000,10203",1,"248220,241078,240201,240198,1454,241077,244468,138287",147836
230492,Ifakara Health Institute (IHI),-6.7659369,39.2539683,ChIJ6zJ8xDZMXBgR1W72AezkwIw,"Kiko Ave, Dar es Salaam, Tanzania",Tanzania,http://www.ihi.or.tz/,"30000,30700,30712,30900,30911",1,"255370,230561,46154,3448,238405,51863,240143,253076,242873,246379,244222,252930","146896,160373,183760"
255913,ECREEE Headquarters,14.9071325,-23.5149586,ChIJ250Fv_GYNQkRmP-3zVjEzl8,"Av. OUA C.P. 288, Praia, Cape Verde",Cape Verde,http://www.ecreee.org/,"20000,20500,20511",1,"254738,252019,257942,257941,1743,255915,255914",193649
247339,WOMEN’S RIGHT TO EDUCATION PROGRAMME,8.9984456,7.4711008,ChIJVVVVBPIMThAR_bhTyKCGRlw,"Suites D1-D4, 3rd Floor AMWAR Plaza,near Gudu Market Junction Gudu District, Apo Roundabout, Garki, Abuja, Nigeria",Nigeria,http://wrepnig.org/,"10000,10201,10202",1,"253750,247340,77288,239617,239717,244869,242757",171176
255914,Energy Commission,5.5979975,-0.1828841,ChIJqwtORfma3w8RjHLzeKJ1B9Y,"Ghana Airways Ave, Accra, Ghana",Ghana,http://www.energycom.gov.gh/,"20000,20500,20511",1,"254738,252019,257942,257941,1743,255915,255913",193649
1081,FiBL - Research Institute of Organic Agriculture,47.516939,8.025083,ChIJV2J9KrZHkEcRH1IKjqoKSH4,"Ackerstrasse 113, 5070 Frick, Switzerland",Switzerland,http://www.fibl.org/,"30000,30200,30205,20000,20700,20701",1,"239726,239727,242484,239725,240683,246229,261195,241626,82651,241507,249786,241905,241509,240705,242770,241698,241606,243039,232147,239916,244425,231018,241521,58847,256461,234120,216418","147278,152017,152224,160904,177582,177584,194252"
238063,University of Neuchâtel,46.9938549,6.9387031,ChIJV1NCwhAKjkcRfAeyqgbpmqs,"Av. du Premier-Mars 26, 2000 Neuchâtel, Switzerland",Switzerland,https://www.unine.ch/,"30000,30200,30209",1,"107132,242551,241614,241626,241617,241619,241624,241621,242552,1447","152154,177583"
239727,CSIR WATER RESEARCH INSTITUTE AKOSOMBO,6.280719299999999,0.05383590000000001,ChIJM1d9H4qpIBARY62q4wviQW4,"Asuogyaman-Atimpoku Rd, Akosombo, Ghana",Ghana,NA,"30000,30200,30205",1,"1081,239726,242484,239725,240683,246229",147278
241507,International Institute Tropicsl Agriculture,7.4492095,3.906931499999999,ChIJO4p9EmLtORARTOenAOdVAjQ,"Sango-Ojoo Road, 200132, Ibadan, Nigeria",Nigeria,NA,"20000,20700,20701",1,"261195,241626,82651,249786,241905,241509,240705,1081,242770,241521,58847","152017,177584"
